0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.0050058225,0.005378835,0.005773684,0.006190835,0.0066305613,0.0070929914,0.0075781755,0.008090945,0.008633939,0.009193014,0.009777362,0.010370411,0.010930869,0.011488982,0.012081839,0.01270563,0.013340951,0.014000455,0.014693654,0.015419609,0.016214065,0.017103763,0.018063458,0.019051338,0.02006453,0.021134468,0.022286216,0.023515914,0.024802037,0.026120558,0.027451402,0.028808704,0.030240083,0.031804234,0.03349424,0.03527381,0.03711106,0.038998786,0.040965777,0.043034196,0.04521083,0.0474329,0.049623016,0.051754154,0.05388341,0.05625273,0.05873903,0.061256427,0.06378876,0.066331655,0.06888651,0.071454555
0.06396875,0.06496436,0.065915436,0.06681366,0.06765181,0.068427324,0.06914146,0.06990847,0.070853114,0.071829006,0.07291583,0.074176595,0.07556515,0.07706861,0.07868842,0.08042002,0.082187995,0.08403472,0.086007625,0.08795463,0.089762464,0.09146101,0.09300246,0.09440352,0.09559781,0.096540354,0.09720242,0.097585596,0.09772259,0.09764532,0.09733751,0.096722715,0.09583862,0.094728634,0.09339512,0.09186322,0.09013035,0.08819847,0.08607113,0.08373783,0.08123986,0.07865692,0.07604129,0.07342508,0.07082106,0.068218715,0.06555639,0.06288977,0.060246196,0.057636175,0.055061325,0.052519813
0.04010115,0.04237331,0.044715576,0.047125563,0.049597148,0.0521178,0.054682396,0.05731071,0.05980571,0.062230576,0.0641792,0.065657996,0.06716398,0.0687451,0.070281975,0.07175959,0.07327965,0.07488074,0.076526776,0.078020565,0.07923138,0.080188096,0.080913335,0.08150726,0.08202051,0.08238919,0.08256418,0.08250484,0.08220614,0.08170528,0.081040315,0.080200724,0.07921287,0.07807456,0.07682495,0.075542614,0.074276604,0.07302845,0.07176826,0.07042326,0.06896255,0.06743852,0.06589264,0.06433298,0.062755056,0.061047234,0.05920269,0.057326358,0.05543448,0.053527772,0.05160314,0.049656898
0.33219767,0.3186508,0.30523163,0.29191178,0.2787034,0.26567957,0.2530265,0.24125144,0.22896193,0.21663006,0.20480292,0.19381136,0.18390083,0.17506091,0.16725188,0.16043036,0.15439028,0.1490338,0.14441144,0.14043522,0.1369225,0.13378876,0.13097562,0.12847367,0.12622337,0.12404192,0.12181555,0.11945858,0.11697671,0.11446716,0.11199576,0.10954416,0.10710341,0.10475384,0.10262165,0.10076866,0.099174194,0.09782268,0.09677751,0.096051104,0.095619455,0.09543182,0.09548383,0.09577499,0.09626143,0.097150736,0.097932674,0.09859156,0.09913146,0.09954838,0.09983508,0.09998489
0.030130312,0.029330323,0.028504597,0.02767011,0.026832975,0.025982933,0.02507694,0.024013888,0.022979394,0.022050614,0.021182682,0.020301204,0.019410595,0.018556643,0.017764507,0.017014248,0.016286189,0.015566984,0.014862932,0.014159089,0.013454642,0.012764105,0.01211105,0.01150288,0.010933368,0.01038232,0.009832196,0.009272266,0.008721182,0.008184107,0.007644333,0.0070954934,0.006562333,0.006064063,0.0056050965,0.005186072,0.004810302,0.0044818493,0.0041905404,0.003928812,0.0036869925,0.0034550214,0.0032319517,0.0030285548,0.002849125,0.002696216,0.0025513046,0.0024107983,0.0022753016,0.0021454366,0.0020214058,0.0019030158
0.0026922435,0.0032418796,0.0038962946,0.0046725217,0.0055888677,0.0066647967,0.007924297,0.009408154,0.011129173,0.013093701,0.015257685,0.017524172,0.019906042,0.022381827,0.025019174,0.027873795,0.030904174,0.033930685,0.03668899,0.03940035,0.04220476,0.045113955,0.04805898,0.05096102,0.053859122,0.05677464,0.05967358,0.062450547,0.065066,0.06743129,0.06937465,0.07086692,0.07194925,0.072654136,0.07296259,0.07290384,0.07254281,0.071920544,0.071061425,0.06999519,0.068791434,0.06745539,0.065966435,0.06438248,0.06274391,0.060918592,0.058926135,0.056887794,0.054833915,0.052775722,0.050713528,0.048642676
0.0006905331,0.0007882242,0.00089893176,0.0010241459,0.0011653706,0.0013238449,0.0014997334,0.0016942669,0.0019130374,0.0021597643,0.0024607787,0.0028106621,0.0031981808,0.0036171633,0.0040858225,0.0046281377,0.005260463,0.0058660167,0.006368025,0.006851745,0.0073382445,0.007824653,0.008295195,0.008735849,0.009153047,0.009552486,0.009949708,0.010366833,0.010831553,0.011349073,0.011928516,0.012564541,0.013249016,0.013988025,0.014771821,0.01556955,0.016359909,0.017122412,0.017822724,0.018456442,0.019002166,0.019442096,0.019762848,0.01993957,0.019963203,0.019803163,0.019668179,0.01950916,0.019313466,0.019081118,0.018817458,0.01852982
0.09254941,0.094767064,0.0969503,0.099097796,0.10120274,0.1032502,0.10518716,0.106842406,0.10904606,0.111724414,0.11506192,0.1192189,0.12376742,0.12849738,0.13334483,0.13828374,0.14329499,0.1482578,0.15309793,0.15771025,0.16200101,0.16605772,0.1698451,0.17320701,0.17604014,0.17836465,0.18023477,0.18171269,0.18294078,0.18392316,0.18461303,0.18507367,0.18529065,0.18512788,0.1845038,0.18337445,0.18175718,0.179714,0.17725274,0.17431058,0.17094368,0.16719314,0.16314632,0.1589254,0.15445524,0.1495217,0.14455615,0.1395554,0.13451564,0.12944797,0.12436499,0.11928498
0.1738314,0.17601761,0.17802212,0.17985973,0.18153428,0.1830121,0.18419518,0.18477836,0.18529333,0.18543753,0.18486874,0.183322,0.18067688,0.1767717,0.17134042,0.16423798,0.15576461,0.14638153,0.13638273,0.12594008,0.11532185,0.10503661,0.09515018,0.085701175,0.07672018,0.06833524,0.06062802,0.053658437,0.04744386,0.041898247,0.037007857,0.03277858,0.029175282,0.026152998,0.023604618,0.021425042,0.019532204,0.017876802,0.01641447,0.015100479,0.01389142,0.012768631,0.011732994,0.010785955,0.009916376,0.009118881,0.00836299,0.0076584984,0.007005059,0.006400102,0.0058401353,0.005321461
0.031767547,0.032101084,0.03239999,0.032662593,0.032890372,0.033085734,0.03324884,0.03338986,0.033491686,0.03347693,0.03340283,0.0332969,0.03306318,0.032716766,0.032385238,0.032039776,0.031644817,0.03124098,0.030874036,0.030546898,0.030237516,0.029919697,0.029571502,0.029209442,0.028856616,0.02854589,0.028258046,0.02798002,0.02773161,0.027541982,0.0274065,0.027291965,0.027185258,0.027107518,0.027064368,0.027068973,0.027148163,0.027305087,0.027531251,0.027834835,0.028225293,0.028676843,0.029153582,0.029612988,0.030054864,0.030406734,0.030702706,0.03094701,0.031138817,0.03127745,0.03136312,0.03139451
0.0031777308,0.0033814698,0.0035954097,0.003818687,0.004049636,0.0042867404,0.0045278766,0.004776349,0.0050725383,0.0053407396,0.005612148,0.0059226053,0.006274924,0.006646279,0.0070293397,0.007474074,0.008007644,0.008664943,0.009399142,0.010186085,0.011025121,0.011940886,0.012935182,0.014013688,0.015188136,0.016449157,0.017781503,0.019202888,0.020712683,0.022294953,0.02394942,0.025642162,0.027375875,0.0291784,0.031081911,0.033111334,0.035278782,0.037580185,0.040024456,0.042630784,0.045409624,0.048327863,0.051345523,0.054394104,0.057387657,0.060020123,0.062590405,0.06515962,0.06771082,0.0702197,0.0726603,0.07500967
0.0017181542,0.0018369064,0.0019614506,0.0020918252,0.0022284025,0.0023712278,0.0025201333,0.0026763119,0.0028392763,0.003008032,0.0031926108,0.0033911495,0.0035885621,0.0037788271,0.003963472,0.0041460255,0.004342337,0.0045530265,0.004749935,0.00493527,0.0051304745,0.0053448444,0.0055785184,0.00582268,0.0060730036,0.00633583,0.0066095567,0.0068874587,0.0071587586,0.0074205706,0.007679095,0.007941144,0.008208214,0.0084881075,0.008792707,0.009137999,0.009551637,0.0100519,0.010644405,0.0113205165,0.012066825,0.012899851,0.013834347,0.014857664,0.015953409,0.017147774,0.018405385,0.019731157,0.021129308,0.02259992,0.024142258,0.025755538
